C10	34.12	23.60	180.00	1uF	1206
C11	38.28	45.80	0.00	1uF	1206
C13	34.90	28.00	0.00	1nF	0603
C8	34.12	25.60	180.00	100nF	1206
C9	38.28	43.80	0.00	100nF	1206
D2	39.97	15.30	90.00	RRE02VSM6STR	TUMD2SM-2
FC1	38.68	27.11	90.00	100nF	0805
FUSE	7.44	3.82	180.00	500mA	1206
LED_ON	34.05	5.69	180.00	GREEN	1206_DIODE
R17	22.03	36.67	270.00	3K3	0603
R18	20.95	33.16	180.00	10K	0603
R19	41.72	27.12	135.00	470K	0603
R25	48.41	50.68	0.00	10K	1206
R26	45.58	47.06	0.00	3.3K	1206
R7	3.13	15.16	180.00	100K	0603
R8	10.50	17.00	90.00	10K	0603
R9	17.80	17.40	270.00	100K	0603
S2	2.97	19.32	0.00	DMP1045U-7	SOT-23-3
S3	14.46	17.88	90.00	AS2312	SOT-23-3
U1	35.31	34.86	270.00	ATMEGA328P-AU	QFP80P900X900X120-32N
