Partlist

Exported from LiBatteryChargeBoostBoard.sch at 17-Dec-23 11:04 PM

EAGLE Version 9.6.2 Copyright (c) 1988-2020 Autodesk, Inc.

Assembly variant: 

Part             Value              Device                                   Package                          Library       Sheet
R4               10K                RESISTOR_SMD0603                         0603                             .MyComponents 1
R5               3K3                RESISTOR_SMD0603                         0603                             .MyComponents 1
R6               680                RESISTOR_SMD1206                         1206                             .MyComponents 1
R7               51                 RESISTOR_SMD1206                         1206                             .MyComponents 1
R8               100K               RESISTOR_SMD0603                         0603                             .MyComponents 1
R9               680                RESISTOR_SMD1206                         1206                             .MyComponents 1
R10              680                RESISTOR_SMD1206                         1206                             .MyComponents 1
R11              470k               RESISTOR_SMD1206                         1206                             .MyComponents 1
R12              470k               RESISTOR_SMD1206                         1206                             .MyComponents 1
R13              470k               RESISTOR_SMD1206                         1206                             .MyComponents 1
R14              10K                RESISTOR_SMD0603                         0603                             .MyComponents 1
R15              100K               RESISTOR_SMD0603                         0603                             .MyComponents 1
R16              10K                RESISTOR_SMD0603                         0603                             .MyComponents 1
R17              3K3                RESISTOR_SMD0603                         0603                             .MyComponents 1
R18              10K                RESISTOR_SMD0603                         0603                             .MyComponents 1
R19              10K                RESISTOR_SMD0603                         0603                             .MyComponents 1
R20              10K                RESISTOR_SMD0603                         0603                             .MyComponents 1
R21              1K                 RESISTOR_SMD0603                         0603                             .MyComponents 1
R22              750                RESISTOR_SMD0603                         0603                             .MyComponents 1
R23              3.3K               RESISTOR_SMD0603                         0603                             .MyComponents 1
R24              3.3K               RESISTOR_SMD0603                         0603                             .MyComponents 1
R25              10K                RESISTOR_SMD0603                         0603                             .MyComponents 1
R26              3.3K               RESISTOR_SMD0603                         0603                             .MyComponents 1
R27              10K                RESISTOR_SMD0603                         0603                             .MyComponents 1
R28              68R                RESISTOR_SMD0603                         0603                             .MyComponents 1
R29              10K                RESISTOR_SMD0603                         0603                             .MyComponents 1
R30              10K                RESISTOR_SMD0603                         0603                             .MyComponents 1
R31              2.2K               RESISTOR_SMD0603                         0603                             .MyComponents 1
R32              18K                RESISTOR_SMD0603                         0603                             .MyComponents 1
R33              0                  RESISTOR_SMD0603                         0603                             .MyComponents 1
R34              10K-1%             RESISTOR_SMD0603                         0603                             .MyComponents 1
R35              50K                ROTARY-POTENTIOMETER-3386P-1-503TLF      ROTARY-POTENTIOMETER-3386P       .MyComponents 1
R36              10K                RESISTOR_SMD0603                         0603                             .MyComponents 1
R37              22K                RESISTOR_SMD0603                         0603                             .MyComponents 1
R38              7K5                RESISTOR_SMD0603                         0603                             .MyComponents 1
R41              82K5               RESISTOR_SMD0603                         0603                             .MyComponents 1
R42              38K3               RESISTOR_SMD0603                         0603                             .MyComponents 1
R43              10K                RESISTOR_SMD0603                         0603                             .MyComponents 1
R46              3K3                RESISTOR_SMD0603                         0603                             .MyComponents 1
R47              1K                 RESISTOR_SMD0603                         0603                             .MyComponents 1
R48              470                RESISTOR_SMD0603                         0603                             .MyComponents 1
RD1              5K1-1%             RESISTOR_SMD0603                         0603                             .MyComponents 1
RD2              5K1-1%             RESISTOR_SMD0603                         0603                             .MyComponents 1
RILIM1           1K8-1%             RESISTOR_SMD0603                         0603                             .MyComponents 1
RILIM2           560-1%             RESISTOR_SMD0603                         0603                             .MyComponents 1
RISET            1K5-0.36A          RESISTOR_SMD0603                         0603                             .MyComponents 1
ROTARY-ENCODER   PEC12R-3217F-S0024 PEC12R-3217F-S0024                       PEC12R-3217F-S0024               .MyComponents 1
S1               POWER-SWITCH       SLIDE-SWITCH-SP3T-VER-TH-MINI            CSS-1310MC                       .MyComponents 1
S2               TPS22995H          TPS22995H-Q1                             SOT-23-6                         .MyComponents 1
S3               BC847C             BC847C                                   SOT-23-3                         .MyComponents 1
S4               DMP1045U           DMP1045U                                 SOT-23-3                         .MyComponents 1
S6               AS2312             AS2312AS2312                             SOT-23-3                         .MyComponents 1
TP1                                 HEADER-3PIN-0.1"P                        HEADER-3PIN-0.1"P                .MyComponents 1
TP2                                 HEADER-3PIN-0.1"P                        HEADER-3PIN-0.1"P                .MyComponents 1
TP3                                 HEADER-3PIN-0.1"P                        HEADER-3PIN-0.1"P                .MyComponents 1
TVS_D2           SMBJP6KE6.8A       SMBJP6KE6.8A-TP                          DIOM5336X244N                    .MyComponents 1
U1               ATMEGA328P-AU-TQFP ATMEGA328P-AU-TQFP                       TQFP32                           .MyComponents 1
USB-ON           ORANGE             LED0603                                  0603-DIODE                       .MyComponents 1
USBC             10164359-00011LF   USB-C-RECEPTABLE-10164359-00011LF        USB-C-RECEPTABLE-1016435900011LF .MyComponents 1
VBOOST           TEST-POINT-TH      TEST-POINT-TH                            TEST-POINT-TH-1MM                .MyComponents 1
VBOOST-SEL                          SLIDE-SWITCH-SPDT-VERTICLE-TH            SLW-883935-2A-D                  .MyComponents 1
VIN              TEST-POINT-TH      TEST-POINT-TH                            TEST-POINT-TH-1MM                .MyComponents 1
VIN'             TEST-POINT-TH      TEST-POINT-TH                            TEST-POINT-TH-1MM                .MyComponents 1
VIN-ON           GREEN              LED0603                                  0603-DIODE                       .MyComponents 1
VOUT             TEST-POINT-TH      TEST-POINT-TH                            TEST-POINT-TH-1MM                .MyComponents 1
VOUT'            TEST-POINT-TH      TEST-POINT-TH                            TEST-POINT-TH-1MM                .MyComponents 1
VREF_SHUNT       LM4040AELT-2.5     LM4040AELT-2.5-SOT23                     SOT-23-3                         .MyComponents 1
